States,Median Household Income,Total population,Total population-AGE-Under 5 years,Total population-AGE-5 to 9 years,Total population-AGE-10 to 14 years,Total population-AGE-15 to 19 years,Total population-AGE-20 to 24 years,Total population-AGE-25 to 29 years,Total population-AGE-30 to 34 years,Total population-AGE-35 to 39 years,Total population-AGE-40 to 44 years,Total population-AGE-45 to 49 years,Total population-AGE-50 to 54 years,Total population-AGE-55 to 59 years,Total population-AGE-60 to 64 years,Total population-AGE-65 to 69 years,Total population-AGE-70 to 74 years,Total population-AGE-75 to 79 years,Total population-AGE-80 to 84 years,Total population-AGE-85 years and over,Estimate-Male-Total population,Estimate-Female-Total population,Real GDP (2017),Total population in poverty status,Population for whom poverty status is determined!!AGE!!Under 18 years,Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years,Population for whom poverty status is determined!!AGE!!18 to 64 years,Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years,Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years,Population for whom poverty status is determined!!AGE!!60 years and over,Population for whom poverty status is determined!!AGE!!65 years and over,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree",Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Did not work,Electric (EV),Hybrid Electric (HEV),Gasoline,Diesel,Number of public airports,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
Hawaii,120969,1440196,78927,82233,88272,77574,89347,90908,99183,98058,94073,83341,86803,85230,91593,89136,73905,58566,35945,37102,725309,714887,85211.4,142378,36568,27163,80813,31068,49745,34919,24997,91512,13004,33991,27554,16963,73720,19800,32600,960000,15500,15,3230297,933073,2133557
Idaho,94503,1939033,111816,127781,139762,138308,141188,122506,127837,120792,135311,108891,110767,108296,116248,109205,90999,62124,36762,30440,976925,962108,91683.7,202517,60862,45262,114039,53489,60550,39897,27616,113069,19926,38646,34758,19739,79798,5900,36500,1545500,136000,126,23449577,4945965,2283375
Illinois,106728,12582032,674211,735342,808148,820510,850982,832841,856977,852952,820316,759349,797662,798387,809415,691806,571063,399898,256445,245728,6229035,6352997,864170.9,1469643,424983,313503,830755,359855,470900,301796,213905,859813,173355,297759,242680,146019,680758,66900,244100,8606400,171300,78,131226309,35358340,24917525
Indiana,88805,6833037,399031,439398,445513,474821,489814,433271,453680,441847,424298,394701,420494,414046,444697,368831,319642,220955,130042,117956,3392667,3440370,396009.2,834550,242641,171302,484922,238732,246190,157865,106987,463653,103583,184488,124824,50758,355843,17700,100900,5116800,153500,73,74817119,14100562,7782408
Iowa,92695,3200517,180010,200720,207426,221129,231721,197964,203702,204624,200449,177961,183143,188738,214051,183086,158035,109473,70309,67976,1607659,1592858,197846.3,339867,86464,61809,205483,110931,94552,70808,47920,188196,32611,73572,54813,27200,133522,6200,48600,2521300,103000,106,50865563,6911616,3004873
Kansas,93221,2937150,176673,186340,203412,207208,218626,190297,187022,201087,181542,160985,162551,171124,183941,163977,132524,89191,61816,58834,1473791,1463359,174794.6,342670,93730,66966,202897,108311,94586,64596,46043,185249,35989,66854,53883,28523,135094,7600,43500,2159200,87000,121,44922635,8661774,4138512
Kentucky,82614,4512310,260433,281095,284053,293874,301356,290830,296329,279692,289631,270219,287374,279552,306759,265046,212760,149226,86734,77347,2233158,2279152,217568.1,722865,206551,147647,415379,177688,237691,147844,100935,428250,108216,173585,105997,40452,338789,7600,55800,3368800,115800,63,61856486,8209933,3677225
Louisiana,79175,4590241,270937,287552,313246,306657,315728,278806,313260,321167,290133,255190,277963,262705,316836,260400,211605,146731,90195,71130,2248146,2342095,231262.3,829565,257479,189555,459756,202171,257585,166436,112330,470788,123572,180947,115401,50868,387757,5900,31400,3159000,115400,69,64186458,11168635,4469991
Maine,93555,1385340,61018,69458,70100,74870,79753,79454,86422,88585,81414,78672,90592,101581,110528,102318,83350,58060,36126,33039,684557,700783,72413.5,145161,27867,21117,88857,34419,54438,40233,28437,101073,15071,43905,26790,15307,82770,5000,28900,1028100,26800,38,13715549,1181525,914533
Maryland,125876,6164660,349193,373075,387050,389324,379802,383048,421904,424519,415693,366674,406252,408464,416883,341123,267044,195905,121988,116719,3004117,3160543,412282.6,581748,154512,114911,326731,136645,190086,136954,100505,361774,76906,125410,89429,70029,288981,46100,146200,4373900,88400,17,50832459,10659225,6482308
Massachusetts,133823,6981974,342252,359840,386696,454230,491572,478573,490048,463915,443376,403850,454179,474572,478771,406713,325068,234799,146948,146572,3419487,3562487,604357.7,700156,151751,115606,410644,178514,232130,186219,137761,456610,107380,150842,102751,95637,370963,49400,158600,4777600,59300,26,39761084,5293774,9624360
Michigan,91856,10034118,536805,571751,615180,643459,687971,648661,666712,611173,608035,562636,639007,649226,715940,619018,504542,336257,216443,201302,4979089,5055029,539898.2,1315899,377915,272872,758595,344431,414164,265386,179389,765566,149480,288629,238652,88805,589465,33100,122800,7071800,175400,127,114968352,19512990,11435217
Minnesota,109737,5717184,328095,363889,368761,373716,364158,363041,379980,398401,383013,315964,340381,348705,394033,318612,263792,183358,112387,116898,2869638,2847546,379111.5,540079,138652,101401,314526,148527,165999,121681,86901,314222,58153,114139,93845,48085,228768,24300,105300,4180500,127300,140,84028523,11175562,11060030
Mississippi,72624,2940057,169303,176516,205864,215884,209168,168422,183094,185470,194426,174342,178876,166777,198731,169742,139942,93192,60716,49592,1426689,1513368,114152.9,544104,175179,132982,295698,123607,172091,108538,73227,307933,76152,118773,86557,26451,251776,2400,22300,2275400,75400,74,41721631,8972931,1740238
Missouri,88586,6177957,349648,375656,394409,410378,411856,398880,410083,407302,387247,345572,368514,375467,429809,357209,294215,209878,132561,119273,3046351,3131606,336625.8,791030,225182,160542,444177,203163,241014,173838,121671,463259,92277,188122,122700,60160,363180,17900,95100,4444600,176200,105,95964357,13859053,8267636
Montana,90874,1122867,57024,62553,72960,69694,75198,72496,73482,75742,70661,61648,61666,64992,78615,73939,64237,42296,25145,20519,567273,555594,53983.4,133233,30937,23574,74635,36679,37956,36796,27661,81204,14088,29777,24511,12828,63923,3300,17100,765400,69900,121,17848379,2092391,2007949
Nebraska,94599,1967923,121107,130922,137862,142514,135424,126816,124167,137156,126752,107572,108231,106172,128331,103385,93292,60844,39754,37622,988837,979086,137078.1,215838,64271,46948,121831,63105,58726,40598,29736,116270,17326,43355,37956,17633,80215,4600,27300,1576900,75100,80,27291042,3287305,2484546
Nevada,98422,3177772,172575,192523,200260,193726,194836,218034,238388,222782,218012,193057,204196,198602,192290,174850,149909,109694,61280,42758,1599922,1577850,187226.2,390848,109410,80116,223561,92738,130823,79415,57877,245584,50566,82845,73127,39046,184391,32900,59100,2157700,85200,45,30423672,10340344,6584590
