States,Total population,Total population-AGE-Under 5 years,Total population-AGE-5 to 9 years,Total population-AGE-10 to 14 years,Total population-AGE-15 to 19 years,Total population-AGE-20 to 24 years,Total population-AGE-25 to 29 years,Total population-AGE-30 to 34 years,Total population-AGE-35 to 39 years,Total population-AGE-40 to 44 years,Total population-AGE-45 to 49 years,Total population-AGE-50 to 54 years,Total population-AGE-55 to 59 years,Total population-AGE-60 to 64 years,Total population-AGE-65 to 69 years,Total population-AGE-70 to 74 years,Total population-AGE-75 to 79 years,Total population-AGE-80 to 84 years,Total population-AGE-85 years and over,Estimate-Male-Total population,Estimate-Female-Total population
South Carolina,5282634,281426,309601,327157,347645,351883,318472,345190,327781,340139,300228,330117,326972,367405,324744,283274,193003,115311,92286,2569909,2712725
South Dakota,909824,57246,59977,63989,62422,60455,55932,55220,55698,60333,49990,47030,51885,63738,56436,45126,27643,17433,19271,462457,447367
Tennessee,7051339,402215,422122,439813,446948,472131,471280,492908,458980,450035,417500,450229,449565,459649,399555,329988,233975,137964,116482,3462618,3588721
Texas,30029572,1881718,2070802,2173132,2160735,2145802,2124620,2204737,2142529,2096393,1860639,1827226,1641396,1662758,1375570,1085585,747528,444397,384005,15021141,15008431
Utah,3380800,228464,253833,278120,277956,299515,253050,241726,226927,234290,200039,173156,149430,160595,136078,109538,74988,45152,37943,1716117,1664683
Vermont,647064,27875,30605,34125,43011,43805,37755,39760,41236,38943,35136,40657,41144,53185,46381,37179,25232,17682,13353,320698,326366
Virginia,8683619,481682,507493,544175,569202,602285,556228,600394,593151,587669,518644,549626,557202,553826,468083,390636,283555,169820,149948,4299314,4384305
Washington,7785786,421722,464035,473406,457060,499354,561477,614820,589210,526428,463748,473087,451753,480544,426872,359449,248123,142675,132023,3930411,3855375
West Virginia,1775156,87469,96217,102819,111760,114325,102223,104869,100477,116189,105518,116477,114295,126356,119451,105223,68910,46114,36464,882101,893055
Wisconsin,5892539,309244,333686,369101,385002,407006,366161,367568,376608,366385,328127,364381,392381,424503,368769,289697,199492,125211,119217,2958771,2933768
Wyoming,581381,30444,37271,38701,38287,36882,34971,37463,42391,39216,30529,33832,35054,38352,39086,29291,19540,11990,8081,297855,283526
Puerto Rico,3221789,99432,133195,170757,197196,216771,210557,195277,195722,203027,197953,206769,215212,223075,198068,185911,165862,110051,96954,1528789,1693000
